Date,Open,High,Low,Close
03/22/2022,"41,186","43,253","40,915","42,611"
03/21/2022,"41,308","41,514","40,550","41,186"
03/20/2022,"42,256","42,366","40,966","41,308"
03/19/2022,"41,849","42,374","41,564","42,256"
03/18/2022,"40,723","42,296","40,228","41,849"
03/17/2022,"41,252","41,444","40,612","40,717"
03/16/2022,"39,452","41,649","38,980","41,252"
03/15/2022,"38,737","39,864","38,184","39,416"
03/14/2022,"38,692","39,275","37,624","38,737"
03/13/2022,"39,103","39,237","38,424","38,677"
03/12/2022,"38,864","39,364","38,713","39,103"
03/11/2022,"39,330","40,189","38,261","38,869"
03/10/2022,"41,910","42,123","38,770","39,302"
03/09/2022,"38,545","42,552","38,515","41,910"
03/08/2022,"37,873","39,372","37,823","38,545"
03/07/2022,"38,994","39,534","37,187","37,873"
03/06/2022,"39,378","39,660","38,144","38,994"
03/05/2022,"39,410","39,583","38,641","39,396"
03/04/2022,"42,117","42,659","39,106","39,410"
03/03/2022,"43,950","44,224","41,848","42,127"
03/02/2022,"43,899","45,309","43,372","43,950"
03/01/2022,"41,650","44,957","41,650","43,870"
02/28/2022,"37,440","41,928","37,428","41,650"
02/27/2022,"39,479","39,834","37,063","37,461"
02/26/2022,"38,992","40,081","38,661","39,479"
02/25/2022,"38,396","39,681","37,801","39,009"
02/24/2022,"37,521","39,136","34,413","38,396"
02/23/2022,"37,913","39,214","37,441","37,571"
02/22/2022,"37,018","38,269","36,420","37,913"
02/21/2022,"38,249","39,464","37,193","37,193"
02/20/2022,"39,936","40,152","38,037","38,249"
02/19/2022,"39,996","40,467","39,690","39,936"
02/18/2022,"40,708","40,964","39,622","39,996"
02/17/2022,"44,091","44,181","40,128","40,708"
02/16/2022,"44,007","44,741","43,415","44,091"
02/15/2022,"42,257","44,512","42,243","44,007"
02/14/2022,"42,259","42,843","41,646","42,257"
02/13/2022,"41,910","42,743","41,889","42,259"
02/12/2022,"42,561","43,025","41,816","41,910"
02/11/2022,"43,753","44,113","42,253","42,561"
02/10/2022,"44,502","45,758","43,350","43,753"
02/09/2022,"44,264","44,837","43,202","44,502"
02/08/2022,"44,050","45,403","42,727","44,264"
02/07/2022,"41,693","44,495","41,609","44,050"
02/06/2022,"41,670","42,094","41,229","41,693"
02/05/2022,"40,647","41,919","40,410","41,718"
02/04/2022,"36,967","40,890","36,833","40,647"
02/03/2022,"36,877","37,220","36,279","36,964"
